symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PZZA,2024-03-07 05:00:00+00:00,71.25,71.48,69.73,69.98,541641.0,11797.0,70.138043
RNXT,2024-03-07 05:00:00+00:00,1.6901,1.7899,1.685,1.75,12778.0,114.0,1.731614
LDWY,2024-03-07 05:00:00+00:00,4.9814,5.13,4.9814,5.13,1632.0,38.0,5.062925
PVBC,2024-03-07 05:00:00+00:00,9.83,10.05,9.7,9.8,45711.0,559.0,9.81724
ROAD,2024-03-07 05:00:00+00:00,50.22,51.56,49.8534,51.41,251329.0,5000.0,51.078577
MGIC,2024-03-07 05:00:00+00:00,10.72,10.73,10.5,10.53,38880.0,443.0,10.595772
MGNI,2024-03-07 05:00:00+00:00,11.72,11.84,11.52,11.55,967961.0,10671.0,11.605546
RILYM,2024-03-07 05:00:00+00:00,22.24,22.3,22.0,22.18,37053.0,750.0,22.10741
NCRA,2024-03-07 05:00:00+00:00,1.12,1.33,1.12,1.32,18345.0,77.0,1.307464
NODK,2024-03-07 05:00:00+00:00,14.19,14.51,14.14,14.14,5914.0,212.0,14.26617
PLCE,2024-03-07 05:00:00+00:00,16.23,16.94,16.075,16.17,356748.0,6700.0,16.279362
PMGMW,2024-03-07 05:00:00+00:00,0.033,0.0355,0.033,0.0355,21183.0,17.0,0.033027
RGTI,2024-03-07 05:00:00+00:00,1.83,2.12,1.79,2.08,13195980.0,29228.0,1.985954
MIGI,2024-03-07 05:00:00+00:00,1.28,1.43,1.25,1.42,405144.0,1512.0,1.347683
NRSNW,2024-03-07 05:00:00+00:00,0.25,0.28,0.25,0.28,7470.0,6.0,0.276691
NUKK,2024-03-07 05:00:00+00:00,0.82,0.83,0.7815,0.82,261918.0,813.0,0.811784
OSBC,2024-03-07 05:00:00+00:00,13.71,13.73,13.48,13.55,88076.0,1508.0,13.572825
MDGS,2024-03-07 05:00:00+00:00,2.81,2.83,2.8,2.83,2644.0,66.0,2.824991
OCUP,2024-03-07 05:00:00+00:00,2.44,2.48,2.34,2.38,165788.0,823.0,2.387823
PCAR,2024-03-07 05:00:00+00:00,116.08,116.88,114.24,114.33,2757879.0,36315.0,114.829239
OPRA,2024-03-07 05:00:00+00:00,13.4,14.57,13.235,14.46,2298205.0,16332.0,13.960549
RCRT,2024-03-07 05:00:00+00:00,1.84,1.8568,1.711,1.81,7012.0,54.0,1.794587
MMLP,2024-03-07 05:00:00+00:00,2.63,2.69,2.63,2.65,25841.0,215.0,2.669665
NCNA,2024-03-07 05:00:00+00:00,0.3241,0.33,0.3005,0.33,279658.0,602.0,0.31211
ODD,2024-03-07 05:00:00+00:00,43.5,45.9799,42.63,43.47,985474.0,11662.0,44.008255
ORGO,2024-03-07 05:00:00+00:00,2.9,3.165,2.87,3.13,1178039.0,5294.0,3.110954
RMCO,2024-03-07 05:00:00+00:00,1.4414,1.67,1.41,1.58,172746.0,977.0,1.547604
LIDRW,2024-03-07 05:00:00+00:00,0.0099,0.0099,0.0067,0.0077,12836.0,20.0,0.009695
LIND,2024-03-07 05:00:00+00:00,8.65,8.88,8.5,8.53,216339.0,2154.0,8.623723
MGAM,2024-03-07 05:00:00+00:00,0.2109,0.222,0.21,0.21,54265.0,154.0,0.212623
OFS,2024-03-07 05:00:00+00:00,10.49,10.65,10.33,10.38,80317.0,608.0,10.418546
PKOH,2024-03-07 05:00:00+00:00,24.0,24.0,23.0601,23.56,47189.0,1328.0,23.695117
PLUR,2024-03-07 05:00:00+00:00,0.97,0.9724,0.92,0.9619,99587.0,255.0,0.957036
LFWD,2024-03-07 05:00:00+00:00,0.751,0.79,0.731,0.7471,408630.0,1061.0,0.768738
ONBPO,2024-03-07 05:00:00+00:00,24.79,24.88,24.5,24.88,18306.0,170.0,24.660303
PAYOW,2024-03-07 05:00:00+00:00,0.23,0.2394,0.21,0.229,10281.0,32.0,0.22004
PSEC,2024-03-07 05:00:00+00:00,5.45,5.52,5.44,5.44,2040258.0,11123.0,5.468473
RGF,2024-03-07 05:00:00+00:00,1.02,1.04,0.96,0.96,171893.0,643.0,0.993107
RCKTW,2024-03-07 05:00:00+00:00,0.3532,0.3533,0.2801,0.2801,846.0,6.0,0.337031
LTRYW,2024-03-07 05:00:00+00:00,0.0156,0.0163,0.0156,0.0161,7543.0,14.0,0.01579
MYPS,2024-03-07 05:00:00+00:00,2.14,2.14,1.995,2.13,455341.0,3615.0,2.10734
ONCO,2024-03-07 05:00:00+00:00,0.19,0.198,0.177,0.1816,351491.0,625.0,0.184952
